Date,Q,Precipitation__1,Precipitation__2,Precipitation__3,Precipitation_lag1__1,Precipitation_lag1__2,Precipitation_lag1__3,Precipitation_lag2__1,Precipitation_lag2__2,Precipitation_lag2__3,Precipitation_lag3__1,Precipitation_lag3__2,Precipitation_lag3__3,Precipitation_sum5__1,Precipitation_sum5__2,Precipitation_sum5__3,Snow__1,Snow__2,Snow__3,Temperature__1,Temperature__2,Temperature__3
1/1/2003,50.63467,14.226824,11.2605358,6.121598324,14.226824,11.2605358,6.121598324,14.226824,11.2605358,6.121598324,14.226824,11.2605358,6.121598324,71.13411999,56.30267899,30.60799162,0.177557333,0.224239389,0.188797415,-1.511845546,-4.208994044,-7.23173874
1/2/2003,31.05875,18.0707946,11.4161328,5.998083779,14.226824,11.2605358,6.121598324,14.226824,11.2605358,6.121598324,14.226824,11.2605358,6.121598324,80.74404648,56.69167149,30.29920526,0.182879115,0.231160946,0.192690809,-1.299691486,-3.979319777,-6.149471096
1/3/2003,11.48283,11.63681244,8.981846055,5.065329993,18.0707946,11.4161328,5.998083779,14.226824,11.2605358,6.121598324,14.226824,11.2605358,6.121598324,73.22405172,52.76419108,28.64168683,0.19870857,0.242604238,0.198727996,-1.037959144,-3.754680334,-6.392463608
1/4/2003,54.28899,9.645329494,8.609452297,5.483716072,11.63681244,8.981846055,5.065329993,18.0707946,11.4161328,5.998083779,14.226824,11.2605358,6.121598324,66.97470065,50.33495868,28.33591021,0.208939815,0.251606455,0.203827965,-1.811671798,-4.749707218,-7.622362126
1/5/2003,20.64813,4.080652444,3.490326035,2.64788601,9.645329494,8.609452297,5.483716072,11.63681244,8.981846055,5.065329993,18.0707946,11.4161328,5.998083779,57.66041297,43.75829298,25.31661418,0.21821677,0.260235328,0.209343161,-2.310963064,-5.31920691,-7.790915528
1/6/2003,51.91882,19.17125242,19.15395927,11.32767159,4.080652444,3.490326035,2.64788601,9.645329494,8.609452297,5.483716072,11.63681244,8.981846055,5.065329993,62.60484139,51.65171645,30.52268745,0.222132913,0.263698117,0.211986775,-2.81025433,-5.888706602,-7.95946893
1/7/2003,55.13294,23.50235258,22.55605834,19.68965719,19.17125242,19.15395927,11.32767159,4.080652444,3.490326035,2.64788601,9.645329494,8.609452297,5.483716072,68.03639937,62.79164199,44.21426086,0.23962338,0.28288833,0.223351311,-3.309545595,-6.458206295,-8.128022332
1/8/2003,77.6127,0.565704088,1.354700829,0.634637566,23.50235258,22.55605834,19.68965719,19.17125242,19.15395927,11.32767159,4.080652444,3.490326035,2.64788601,56.96529103,55.16449677,39.78356843,0.260309007,0.305384364,0.243024456,-0.523948064,-2.92486799,-5.413402788
1/9/2003,68.24844,18.03952442,15.71190597,11.0427465,0.565704088,1.354700829,0.634637566,23.50235258,22.55605834,19.68965719,19.17125242,19.15395927,11.32767159,65.35948595,62.26695044,45.34259886,0.260784556,0.306738036,0.243668764,-2.372529936,-5.713671072,-7.504207028
1/10/2003,82.43866,0.009004043,0.030641066,0.019950821,18.03952442,15.71190597,11.0427465,0.565704088,1.354700829,0.634637566,23.50235258,22.55605834,19.68965719,61.28783755,58.80726547,42.71466367,0.278632963,0.322492964,0.254762631,-4.43173598,-7.94553101,-10.54469081
1/11/2003,66.71618,1.538740587,3.862465561,2.334237399,0.009004043,0.030641066,0.019950821,18.03952442,15.71190597,11.0427465,0.565704088,1.354700829,0.634637566,43.65532572,43.51577177,33.72122948,0.278523516,0.322492213,0.254772031,-2.783577786,-4.225145678,-6.29862567
1/12/2003,32.33489,0.32688511,1.3018838,1.983978904,1.538740587,3.862465561,2.334237399,0.009004043,0.030641066,0.019950821,18.03952442,15.71190597,11.0427465,20.47985825,22.26159723,16.01555119,0.280094301,0.326387927,0.257151642,-3.866059423,-5.883723196,-7.868407695
1/13/2003,76.99915,27.79643976,24.77380507,20.46188536,0.32688511,1.3018838,1.983978904,1.538740587,3.862465561,2.334237399,0.009004043,0.030641066,0.019950821,47.71059392,45.68070147,35.84279898,0.280404149,0.327719033,0.259173225,-4.948541061,-7.542300713,-9.438189719
1/14/2003,86.43075,4.871403074,3.689996808,2.138812325,27.79643976,24.77380507,20.46188536,0.32688511,1.3018838,1.983978904,1.538740587,3.862465561,2.334237399,34.54247257,33.65879231,26.93886481,0.30729005,0.352498402,0.279659729,-6.031022699,-9.20087823,-11.00797174
1/15/2003,36.64949,4.591914622,2.360662744,1.305716717,4.871403074,3.689996808,2.138812325,27.79643976,24.77380507,20.46188536,0.32688511,1.3018838,1.983978904,39.12538315,35.98881398,28.2246307,0.311994007,0.356154822,0.281794083,-8.796662712,-12.93578897,-15.4858295
1/16/2003,64.81067,1.761234969,0.512671838,0.10092085,4.591914622,2.360662744,1.305716717,4.871403074,3.689996808,2.138812325,27.79643976,24.77380507,20.46188536,39.34787753,32.63902026,25.99131416,0.316472871,0.35849479,0.283085068,-9.304818499,-14.13085712,-16.0747419
